athlete_NOC,NOC_for_join,NOC_clean,Year,Gold_ath,Silver_ath,Bronze_ath,Total_ath,Gold_off,Silver_off,Bronze_off,Total_off,Rank,diff_Gold,diff_Silver,diff_Bronze,diff_Total,abs_diff_sum,match_status
TTO,TTO,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TUN,TUN,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TUR,Turkey,Turkey,1992,2,2,2,6,2,2,2,6,23,0,0,0,0,0,MATCH
UAE,UAE,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
UGA,UGA,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
URU,URU,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,1992,37,37,34,108,37,34,37,108,2,0,3,-3,0,6,DIFFER
VAN,VAN,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VEN,VEN,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VIE,VIE,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VIN,VIN,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YEM,YEM,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ZAM,ZAM,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ZIM,ZIM,,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
,,Independent Olympic Participants,1992,0,0,0,0,0,1,2,3,44,0,-1,-2,-3,3,ONLY_IN_OFFICIAL
AFG,AFG,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AHO,AHO,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALB,ALB,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALG,Algeria,Algeria,1996,1,2,0,3,2,0,1,3,34,-1,2,-1,0,4,DIFFER
AND,AND,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ANG,ANG,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ANT,ANT,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1996,1,0,2,3,0,2,1,3,54,1,-2,1,0,4,DIFFER
ARM,Armenia,Armenia,1996,0,1,1,2,1,1,0,2,45,-1,0,1,0,2,DIFFER
ARU,ARU,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ASA,ASA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AUS,Australia,Australia,1996,23,9,9,41,9,9,23,41,7,14,0,-14,0,28,DIFFER
AUT,Austria,Austria,1996,2,0,1,3,0,1,2,3,57,2,-1,-1,0,4,DIFFER
AZE,Azerbaijan,Azerbaijan,1996,0,0,1,1,0,1,0,1,61,0,-1,1,0,2,DIFFER
BAH,Bahamas,Bahamas,1996,0,0,1,1,0,1,0,1,61,0,-1,1,0,2,DIFFER
BAN,BAN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BAR,BAR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BDI,Burundi,Burundi,1996,0,1,0,1,1,0,0,1,49,-1,1,0,0,2,DIFFER
BEL,Belgium,Belgium,1996,2,2,2,6,2,2,2,6,31,0,0,0,0,0,MATCH
BEN,BEN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BER,BER,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BHU,BHU,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIH,BIH,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIZ,BIZ,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BLR,Belarus,Belarus,1996,8,1,6,15,1,6,8,15,37,7,-5,-2,0,14,DIFFER
BOL,BOL,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BOT,BOT,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,1996,9,3,3,15,3,3,9,15,25,6,0,-6,0,12,DIFFER
BRN,BRN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRU,BRU,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BUL,Bulgaria,Bulgaria,1996,5,3,7,15,3,7,5,15,22,2,-4,2,0,8,DIFFER
BUR,BUR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAF,CAF,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAM,CAM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1996,8,3,11,22,3,11,8,22,21,5,-8,3,0,16,DIFFER
CAY,CAY,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CGO,CGO,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHA,CHA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHI,CHI,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHN,China,China,1996,12,16,22,50,16,22,12,50,4,-4,-6,10,0,20,DIFFER
CIV,CIV,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CMR,CMR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COD,COD,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COK,COK,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,COL,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COM,COM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CPV,CPV,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRC,Costa Rica,Costa Rica,1996,0,1,0,1,1,0,0,1,49,-1,1,0,0,2,DIFFER
CRO,Croatia,Croatia,1996,0,1,1,2,1,1,0,2,45,-1,0,1,0,2,DIFFER
CUB,Cuba,Cuba,1996,8,9,8,25,9,8,8,25,8,-1,1,0,0,2,DIFFER
CYP,CYP,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CZE,Czech Republic,Czech Republic,1996,4,4,3,11,4,3,4,11,17,0,1,-1,0,2,DIFFER
DEN,Denmark,Denmark,1996,1,4,1,6,4,1,1,6,19,-3,3,0,0,6,DIFFER
DJI,DJI,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DMA,DMA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DOM,DOM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ECU,Ecuador,Ecuador,1996,0,1,0,1,1,0,0,1,49,-1,1,0,0,2,DIFFER
EGY,EGY,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESA,ESA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,1996,6,5,6,17,5,6,6,17,13,1,-1,0,0,2,DIFFER
EST,EST,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ETH,Ethiopia,Ethiopia,1996,1,2,0,3,2,0,1,3,34,-1,2,-1,0,4,DIFFER
FIJ,FIJ,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,Finland,Finland,1996,1,1,2,4,1,2,1,4,40,0,-1,1,0,2,DIFFER
FRA,France,France,1996,15,15,7,37,15,7,15,37,5,0,8,-8,0,16,DIFFER
GAB,GAB,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GAM,GAM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GBR,Great Britain,Great Britain,1996,6,1,8,15,1,8,6,15,36,5,-7,2,0,14,DIFFER
GBS,GBS,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GEO,Georgia,Georgia,1996,2,0,0,2,0,0,2,2,68,2,0,-2,0,4,DIFFER
GEQ,GEQ,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GER,Germany,Germany,1996,27,20,18,65,20,18,27,65,3,7,2,-9,0,18,DIFFER
GHA,GHA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GRE,Greece,Greece,1996,0,4,4,8,4,4,0,8,16,-4,0,4,0,8,DIFFER
GRN,GRN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUA,GUA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUI,GUI,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUM,GUM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUY,GUY,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,HAI,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,Hong Kong,Hong Kong,1996,0,1,0,1,1,0,0,1,49,-1,1,0,0,2,DIFFER
HON,HON,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1996,10,7,4,21,7,4,10,21,12,3,3,-6,0,12,DIFFER
INA,Indonesia,Indonesia,1996,2,1,1,4,1,1,2,4,41,1,0,-1,0,2,DIFFER
IND,India,India,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
IRI,Iran,Iran,1996,1,1,1,3,1,1,1,3,43,0,0,0,0,0,MATCH
IRL,Ireland,Ireland,1996,1,3,0,4,3,0,1,4,28,-2,3,-1,0,6,DIFFER
IRQ,IRQ,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISL,ISL,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISR,Israel,Israel,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
ISV,ISV,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1996,12,13,10,35,13,10,12,35,6,-1,3,-2,0,6,DIFFER
IVB,IVB,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
JAM,Jamaica,Jamaica,1996,2,1,3,6,1,3,2,6,39,1,-2,1,0,4,DIFFER
JOR,JOR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
JPN,Japan,Japan,1996,5,3,6,14,3,6,5,14,23,2,-3,1,0,6,DIFFER
KAZ,Kazakhstan,Kazakhstan,1996,4,3,4,11,3,4,4,11,24,1,-1,0,0,2,DIFFER
KEN,Kenya,Kenya,1996,3,1,4,8,1,4,3,8,38,2,-3,1,0,6,DIFFER
KGZ,KGZ,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
KOR,South Korea,South Korea,1996,5,7,15,27,7,15,5,27,10,-2,-8,10,0,20,DIFFER
KSA,KSA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
KUW,KUW,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LAO,LAO,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LAT,Latvia,Latvia,1996,0,0,1,1,0,1,0,1,61,0,-1,1,0,2,DIFFER
LBA,LBA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LBR,LBR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LCA,LCA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LES,LES,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIB,LIB,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIE,LIE,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LTU,Lithuania,Lithuania,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
LUX,LUX,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAD,MAD,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAR,Morocco,Morocco,1996,2,0,0,2,0,0,2,2,68,2,0,-2,0,4,DIFFER
MAS,Malaysia,Malaysia,1996,1,0,1,2,0,1,1,2,58,1,-1,0,0,2,DIFFER
MAW,MAW,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MDA,Moldova,Moldova,1996,1,0,1,2,0,1,1,2,58,1,-1,0,0,2,DIFFER
MDV,MDV,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
MGL,Mongolia,Mongolia,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
MKD,MKD,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MLI,MLI,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MLT,MLT,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MON,MON,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MOZ,Mozambique,Mozambique,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
MRI,MRI,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MTN,MTN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MYA,MYA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NAM,Namibia,Namibia,1996,0,0,2,2,0,2,0,2,55,0,-2,2,0,4,DIFFER
NCA,NCA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1996,10,4,5,19,4,5,10,19,15,6,-1,-5,0,12,DIFFER
NEP,NEP,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NGR,Nigeria,Nigeria,1996,3,2,1,6,2,1,3,6,32,1,1,-2,0,4,DIFFER
NIG,NIG,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NOR,Norway,Norway,1996,3,2,2,7,2,2,3,7,30,1,0,-1,0,2,DIFFER
NRU,NRU,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NZL,New Zealand,New Zealand,1996,1,3,2,6,3,2,1,6,26,-2,1,1,0,4,DIFFER
OMA,OMA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAK,PAK,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAN,PAN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAR,PAR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PER,PER,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,Philippines,Philippines,1996,0,0,1,1,0,1,0,1,61,0,-1,1,0,2,DIFFER
PLE,PLE,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PNG,PNG,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1996,5,7,5,17,7,5,5,17,11,-2,2,0,0,4,DIFFER
POR,Portugal,Portugal,1996,1,1,0,2,1,0,1,2,47,0,1,-1,0,2,DIFFER
PRK,North Korea,North Korea,1996,2,2,1,5,2,1,2,5,33,0,1,-1,0,2,DIFFER
PUR,Puerto Rico,Puerto Rico,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
QAT,QAT,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ROU,Romania,Romania,1996,8,4,7,19,4,7,9,20,14,4,-3,-2,-1,9,DIFFER
RSA,South Africa,South Africa,1996,1,3,1,5,3,1,1,5,27,-2,2,0,0,4,DIFFER
RUS,Russia,Russia,1996,16,26,21,63,26,21,16,63,2,-10,5,5,0,20,DIFFER
RWA,RWA,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SAM,SAM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SCG,FR Yugoslavia,FR Yugoslavia,1996,2,1,1,4,1,1,2,4,41,1,0,-1,0,2,DIFFER
SEN,SEN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SEY,SEY,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SGP,SGP,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SKN,SKN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SLE,SLE,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SLO,Slovenia,Slovenia,1996,0,0,2,2,0,2,0,2,55,0,-2,2,0,4,DIFFER
SMR,SMR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SOL,SOL,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SOM,SOM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SRI,SRI,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
STP,STP,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUD,SUD,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1996,0,4,3,7,4,3,0,7,18,-4,1,3,0,8,DIFFER
SUR,SUR,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SVK,Slovakia,Slovakia,1996,1,1,1,3,1,1,1,3,43,0,0,0,0,0,MATCH
SWE,Sweden,Sweden,1996,2,2,4,8,2,4,2,8,29,0,-2,2,0,4,DIFFER
SWZ,SWZ,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SYR,Syria,Syria,1996,0,1,0,1,1,0,0,1,49,-1,1,0,0,2,DIFFER
TAN,TAN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TGA,Tonga,Tonga,1996,0,0,1,1,0,1,0,1,61,0,-1,1,0,2,DIFFER
THA,Thailand,Thailand,1996,1,1,0,2,1,0,1,2,47,0,1,-1,0,2,DIFFER
TJK,TJK,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TKM,TKM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TOG,TOG,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TPE,Chinese Taipei,Chinese Taipei,1996,0,0,1,1,0,1,0,1,61,0,-1,1,0,2,DIFFER
TTO,Trinidad and Tobago,Trinidad and Tobago,1996,2,0,0,2,0,0,2,2,68,2,0,-2,0,4,DIFFER
TUN,Tunisia,Tunisia,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
TUR,Turkey,Turkey,1996,1,4,1,6,4,1,1,6,19,-3,3,0,0,6,DIFFER
UAE,UAE,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
UGA,Uganda,Uganda,1996,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
UKR,Ukraine,Ukraine,1996,12,9,2,23,9,2,12,23,9,3,7,-10,0,20,DIFFER
URU,URU,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,1996,25,44,32,101,44,32,25,101,1,-19,12,7,0,38,DIFFER
UZB,Uzbekistan,Uzbekistan,1996,1,0,1,2,0,1,1,2,58,1,-1,0,0,2,DIFFER
VAN,VAN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VEN,VEN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VIE,VIE,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VIN,VIN,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YEM,YEM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ZAM,Zambia,Zambia,1996,0,0,1,1,0,1,0,1,61,0,-1,1,0,2,DIFFER
ZIM,ZIM,,1996,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AHO,AHO,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALB,ALB,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALG,Algeria,Algeria,2000,3,1,1,5,1,1,3,5,42,2,0,-2,0,4,DIFFER
AND,AND,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ANG,ANG,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ANT,ANT,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,2000,2,0,2,4,0,2,2,4,57,2,-2,0,0,4,DIFFER
ARM,Armenia,Armenia,2000,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
ARU,ARU,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ASA,ASA,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AUS,Australia,Australia,2000,17,16,25,58,16,25,17,58,4,1,-9,8,0,18,DIFFER
AUT,Austria,Austria,2000,0,2,1,3,2,1,0,3,32,-2,1,1,0,4,DIFFER
AZE,Azerbaijan,Azerbaijan,2000,1,2,0,3,2,0,1,3,34,-1,2,-1,0,4,DIFFER
BAH,Bahamas,Bahamas,2000,1,2,0,3,2,0,1,3,34,-1,2,-1,0,4,DIFFER
BAN,BAN,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BAR,Barbados,Barbados,2000,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
BDI,BDI,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BEL,Belgium,Belgium,2000,3,0,2,5,0,2,3,5,55,3,-2,-1,0,6,DIFFER
BEN,BEN,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BER,BER,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BHU,BHU,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIH,BIH,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIZ,BIZ,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BLR,Belarus,Belarus,2000,11,3,3,17,3,3,11,17,23,8,0,-8,0,16,DIFFER
BOL,BOL,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BOT,BOT,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,2000,6,0,6,12,0,6,6,12,53,6,-6,0,0,12,DIFFER
BRN,BRN,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRU,BRU,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BUL,Bulgaria,Bulgaria,2000,2,5,6,13,5,6,2,13,16,-3,-1,4,0,8,DIFFER
BUR,BUR,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAF,CAF,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAM,CAM,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,2000,8,3,3,14,3,3,8,14,24,5,0,-5,0,10,DIFFER
CAY,CAY,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CGO,CGO,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHA,CHA,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHI,Chile,Chile,2000,1,0,0,1,0,0,1,1,71,1,0,-1,0,2,DIFFER
CHN,China,China,2000,14,28,16,58,28,16,14,58,3,-14,12,2,0,28,DIFFER
CIV,CIV,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CMR,Cameroon,Cameroon,2000,0,1,0,1,1,0,0,1,50,-1,1,0,0,2,DIFFER
COD,COD,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COK,COK,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,Colombia,Colombia,2000,0,1,0,1,1,0,0,1,50,-1,1,0,0,2,DIFFER
COM,COM,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CPV,CPV,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRC,Costa Rica,Costa Rica,2000,2,0,0,2,0,0,2,2,69,2,0,-2,0,4,DIFFER
CRO,Croatia,Croatia,2000,1,1,0,2,1,0,1,2,49,0,1,-1,0,2,DIFFER
CUB,Cuba,Cuba,2000,7,11,11,29,11,11,7,29,9,-4,0,4,0,8,DIFFER
CYP,CYP,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CZE,Czech Republic,Czech Republic,2000,3,2,3,8,2,3,3,8,28,1,-1,0,0,2,DIFFER
DEN,Denmark,Denmark,2000,1,2,3,6,2,3,1,6,30,-1,-1,2,0,4,DIFFER
DJI,DJI,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DMA,DMA,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DOM,DOM,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ECU,ECU,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
EGY,EGY,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ERI,ERI,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESA,ESA,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,2000,5,3,3,11,3,3,5,11,25,2,0,-2,0,4,DIFFER
EST,Estonia,Estonia,2000,2,1,0,3,1,0,2,3,47,1,1,-2,0,4,DIFFER
ETH,Ethiopia,Ethiopia,2000,3,4,1,8,4,1,3,8,20,-1,3,-2,0,6,DIFFER
FIJ,FIJ,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,Finland,Finland,2000,1,2,1,4,2,1,1,4,31,-1,1,0,0,2,DIFFER
FRA,France,France,2000,11,13,14,38,13,14,11,38,6,-2,-1,3,0,6,DIFFER
FSM,FSM,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GAB,GAB,,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
